Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Age,Item_Price_Per_Visibility
FDB57,13.224769381746812,Regular,0.01871404,Fruits and Vegetables,223.4772,OUT027,1985,Medium,Tier 3,Supermarket Type3,7116.0704,39,11878.21435481162
DRP35,11.400327868852456,Low Fat,0.159096908,Hard Drinks,129.3336,OUT019,1985,Small,Tier 1,Grocery Store,127.8336,39,812.412763695134
FDZ59,6.63,Regular,0.103935018,Baking Goods,166.85,OUT013,1987,High,Tier 3,Supermarket Type1,5326.4,37,1603.7869095192543
FDU58,6.61,Regular,0.029129907,Snack Foods,188.4898,OUT018,2009,Medium,Tier 3,Supermarket Type2,4677.245,15,6448.525477689683
FDL09,19.6,Regular,0.128011859,Snack Foods,166.8816,OUT035,2004,Small,Tier 2,Supermarket Type1,1845.5976,20,1302.6241388004526
FDY38,13.6,Regular,0.119850541,Dairy,234.53,OUT017,2007,Small,Tier 2,Supermarket Type1,6524.84,17,1955.222527925072
FDI46,12.987879554655873,Low Fat,0.073985248,Snack Foods,252.5724,OUT027,1985,Medium,Tier 3,Supermarket Type3,3271.7412,39,3409.213127018215
FDL03,19.25,Regular,0.027233781,Meat,197.511,OUT017,2007,Small,Tier 2,Supermarket Type1,982.055,17,7225.893849080008
DRC25,11.847459893048129,Low Fat,0.079440262,Soft Drinks,86.7882,OUT019,1985,Small,Tier 1,Grocery Store,85.8882,39,1091.1228831506742
FDU60,20.0,Regular,0.060022526,Baking Goods,168.7132,OUT045,2002,Small,Tier 2,Supermarket Type1,6426.3016,22,2806.156215059893
FDP25,12.305705009276435,Low Fat,0.02110482,Canned,217.0824,OUT027,1985,Medium,Tier 3,Supermarket Type3,6769.8544,39,10237.408287361082
FDO57,20.75,Low Fat,0.181958524,Snack Foods,161.0578,OUT010,1998,Small,Tier 3,Grocery Store,481.3734,26,884.6484990727487
FDQ09,7.235,Low Fat,0.058222587,Snack Foods,114.8834,OUT049,1999,Medium,Tier 1,Supermarket Type1,3340.3186,25,1969.7925951055634
NCY05,13.14231395348837,Low Fat,0.054723717,Health and Hygiene,36.6874,OUT027,1985,Medium,Tier 3,Supermarket Type3,1058.622,39,669.1884827874767
FDA20,6.78,Low Fat,0.066724663,Fruits and Vegetables,187.724,OUT049,1999,Medium,Tier 1,Supermarket Type1,1491.392,25,2809.2023449486005
FDF16,7.3,Low Fat,0.144167934,Frozen Foods,146.3076,OUT010,1998,Small,Tier 3,Grocery Store,886.8456,26,1014.1380412365233
NCG07,12.3,Low Fat,0.052458358,Household,188.753,OUT013,1987,High,Tier 3,Supermarket Type1,3795.06,37,3591.3032138484996
FDR46,16.85,Low Fat,0.139985583,Snack Foods,145.276,OUT018,2009,Medium,Tier 3,Supermarket Type2,2490.092,15,1037.0517571390628
FDP22,14.65,Regular,0.099286298,Snack Foods,49.8666,OUT049,1999,Medium,Tier 1,Supermarket Type1,563.9326,25,501.7452204528234
FDL45,15.6,Low Fat,0.037680711,Snack Foods,123.7704,OUT035,2004,Small,Tier 2,Supermarket Type1,3129.26,20,3276.0209303631154
NCF42,17.35,Low Fat,0.168064909,Household,176.2712,OUT018,2009,Medium,Tier 3,Supermarket Type2,1230.3984,15,1048.204414632068
FDD04,16.0,Low Fat,0.090111173,Dairy,141.3154,OUT049,1999,Medium,Tier 1,Supermarket Type1,3261.7542,25,1566.495538196804
FDC45,17.0,Low Fat,0.136286138,Fruits and Vegetables,170.9106,OUT018,2009,Medium,Tier 3,Supermarket Type2,1197.7742,15,1253.1376172555015
FDI40,11.5,Regular,0.125857678,Frozen Foods,100.5358,OUT045,2002,Small,Tier 2,Supermarket Type1,2111.2518,22,798.1712714646899
FDQ11,5.695,Regular,0.067700925,Breads,256.5988,OUT046,1997,Small,Tier 1,Supermarket Type1,2055.9904,27,3784.591434408896
DRM48,15.2,Low Fat,0.112896669,Soft Drinks,36.0848,OUT046,1997,Small,Tier 1,Supermarket Type1,1193.1136,27,319.34392685504736
FDS12,9.1,Low Fat,0.173973652,Baking Goods,126.5362,OUT013,1987,High,Tier 3,Supermarket Type1,1761.7068,37,726.9118476356203
FDR46,16.85,Low Fat,0.0,Snack Foods,146.076,OUT017,2007,Small,Tier 2,Supermarket Type1,2636.568,17,1460759.9999999998
NCO02,11.15,Low Fat,0.073516952,Others,65.9142,OUT045,2002,Small,Tier 2,Supermarket Type1,790.9704,22,895.367143154745
FDQ52,17.0,Low Fat,0.119285634,Frozen Foods,247.4434,OUT013,1987,High,Tier 3,Supermarket Type1,2980.1208,37,2072.6396611505197
FDY28,7.47,Regular,0.153011599,Frozen Foods,215.2218,OUT017,2007,Small,Tier 2,Supermarket Type1,3419.5488,17,1405.6531406219592
FDE32,20.7,Low Fat,0.04875891,Fruits and Vegetables,37.3506,OUT046,1997,Small,Tier 1,Supermarket Type1,834.9132,27,764.4583147679716
FDJ58,15.6,Regular,0.105276162,Snack Foods,173.2764,OUT035,2004,Small,Tier 2,Supermarket Type1,3779.0808,20,1644.3605148572406
FDJ27,17.7,Regular,0.122123201,Meat,100.7674,OUT045,2002,Small,Tier 2,Supermarket Type1,814.9392,22,824.4539430774685
NCM18,13.0,Low Fat,0.082970667,Household,60.0194,OUT049,1999,Medium,Tier 1,Supermarket Type1,1114.5492,25,722.5101490999223
FDA02,14.0,Regular,0.029782937,Dairy,146.3786,OUT045,2002,Small,Tier 2,Supermarket Type1,866.8716,22,4898.400716100965
FDT26,18.85,Regular,0.067953506,Dairy,119.044,OUT046,1997,Small,Tier 1,Supermarket Type1,2396.88,27,1749.2706400754723
DRD60,15.7,Low Fat,0.03722507,Soft Drinks,182.4634,OUT035,2004,Small,Tier 2,Supermarket Type1,1999.3974,20,4888.494515884364
NCR18,15.85,Low Fat,0.020487625,Household,44.0112,OUT046,1997,Small,Tier 1,Supermarket Type1,468.7232,27,2137.750226167419
FDO27,6.175,Regular,0.179077475,Meat,94.3752,OUT046,1997,Small,Tier 1,Supermarket Type1,1342.2528,27,526.7135280257745
FDP25,12.305705009276435,Low Fat,0.037131628,Canned,216.4824,OUT019,1985,Small,Tier 1,Grocery Store,218.3824,39,5814.47579998382
FDQ51,16.0,Regular,0.017547958,Meat,48.3718,OUT035,2004,Small,Tier 2,Supermarket Type1,614.5334,20,2740.92900719732
NCH07,13.15,Low Fat,0.093191195,Household,158.1604,OUT017,2007,Small,Tier 2,Supermarket Type1,1426.1436,17,1695.3411305322009
FDP44,16.5,Regular,0.079875237,Fruits and Vegetables,102.7332,OUT045,2002,Small,Tier 2,Supermarket Type1,1537.998,22,1284.5626203020815
NCP55,14.65,Low Fat,0.01125332,Others,57.0614,OUT017,2007,Small,Tier 2,Supermarket Type1,939.4438,17,5025.965972948882
FDO09,13.5,Regular,0.125170423,Snack Foods,261.491,OUT013,1987,High,Tier 3,Supermarket Type1,3418.883,37,2087.4121260051943
FDP38,10.1,Low Fat,0.032152004,Canned,50.6008,OUT049,1999,Medium,Tier 1,Supermarket Type1,404.8064,25,1568.9195623316925
FDI48,11.85,Regular,0.056033565,Baking Goods,51.4666,OUT017,2007,Small,Tier 2,Supermarket Type1,974.0654,17,916.8596364759658
FDS58,9.285,Regular,0.021049215,Snack Foods,161.0578,OUT045,2002,Small,Tier 2,Supermarket Type1,2406.867,22,7615.308653299898
FDJ55,12.8,Regular,0.023526504,Meat,223.5404,OUT035,2004,Small,Tier 2,Supermarket Type1,5626.01,20,9461.425185884464
NCF06,6.235,Low Fat,0.020229757,Household,260.8962,OUT049,1999,Medium,Tier 1,Supermarket Type1,5956.9126,25,12833.217829411342
FDF41,12.15,Low Fat,0.131445848,Frozen Foods,246.846,OUT045,2002,Small,Tier 2,Supermarket Type1,6404.996,22,1876.501643746293
NCL05,13.14231395348837,Low Fat,0.083862625,Health and Hygiene,44.077,OUT019,1985,Small,Tier 1,Grocery Store,216.385,39,524.9597663245997
FDT24,12.35,Regular,0.18614827,Baking Goods,78.2328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1158.492,25,420.0457808279239
FDK08,9.195,Regular,0.204713036,Fruits and Vegetables,101.0016,OUT010,1998,Small,Tier 3,Grocery Store,202.4032,26,493.140485452303
FDU55,16.2,Low Fat,0.036057562,Fruits and Vegetables,260.3278,OUT018,2009,Medium,Tier 3,Supermarket Type2,2342.9502,15,7199.816182296804
NCY18,7.285,Low Fat,0.031327839,Household,174.6054,OUT017,2007,Small,Tier 2,Supermarket Type1,2976.7918,17,5555.755838000824
FDS11,7.05,Regular,0.055558509,Breads,224.7088,OUT046,1997,Small,Tier 1,Supermarket Type1,3131.9232,27,4037.2766722874303
FDC28,12.867061281337046,Low Fat,0.0,Frozen Foods,109.9254,OUT019,1985,Small,Tier 1,Grocery Store,108.5254,39,1099254.0
FDR59,14.5,Regular,0.063863551,Breads,262.3594,OUT046,1997,Small,Tier 1,Supermarket Type1,4448.2098,27,4101.701608154931
DRE15,13.35,Low Fat,0.0,Dairy,75.7012,OUT017,2007,Small,Tier 2,Supermarket Type1,1442.1228,17,757012.0
FDP19,11.5,Low Fat,0.0,Fruits and Vegetables,128.4652,OUT049,1999,Medium,Tier 1,Supermarket Type1,2841.6344,25,1284652.0
DRN47,12.1,Low Fat,0.016852909,Hard Drinks,180.666,OUT049,1999,Medium,Tier 1,Supermarket Type1,2876.256,25,10656.93209348319
FDJ34,11.8,Regular,0.094037241,Snack Foods,124.5704,OUT018,2009,Medium,Tier 3,Supermarket Type2,1001.3632,15,1323.2850110829147
FDX21,7.05,Low Fat,0.085312137,Snack Foods,107.4912,OUT018,2009,Medium,Tier 3,Supermarket Type2,982.7208,15,1258.5002995534464
FDI57,12.5528431372549,Low Fat,0.053764023,Seafood,195.7768,OUT027,1985,Medium,Tier 3,Supermarket Type3,3547.3824,39,3634.648678209572
NCI42,18.75,Low Fat,0.010365546,Household,207.0954,OUT046,1997,Small,Tier 1,Supermarket Type1,3125.931,27,19788.30344828641
FDL03,19.25,Regular,0.027135522,Meat,196.311,OUT045,2002,Small,Tier 2,Supermarket Type1,3142.576,22,7207.902973183331
FDX37,16.2,Low Fat,0.0,Canned,100.57,OUT013,1987,High,Tier 3,Supermarket Type1,1398.18,37,1005699.9999999999
FDW57,8.31,Regular,0.116148596,Snack Foods,176.0028,OUT018,2009,Medium,Tier 3,Supermarket Type2,4427.57,15,1514.0208661100733
FDX14,13.1,Low Fat,0.075363922,Dairy,73.8354,OUT017,2007,Small,Tier 2,Supermarket Type1,1956.1204,17,978.4198600226478
FDD09,13.5,Low Fat,0.021496403,Fruits and Vegetables,180.5976,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.6592,27,8362.392570651697
FDM09,11.15,Regular,0.085931544,Snack Foods,169.679,OUT046,1997,Small,Tier 1,Supermarket Type1,1018.674,27,1972.2882109380716
NCW54,7.5,Low Fat,0.096806008,Household,56.2588,OUT018,2009,Medium,Tier 3,Supermarket Type2,687.1056,15,580.5501760014714
DRL11,11.400327868852456,Low Fat,0.04778563,Hard Drinks,156.5946,OUT027,1985,Medium,Tier 3,Supermarket Type3,3787.0704,39,3270.1793836689626
FDJ58,15.6,Regular,0.105725004,Snack Foods,169.9764,OUT018,2009,Medium,Tier 3,Supermarket Type2,2748.4224,15,1606.2026324137914
FDX21,12.987879554655873,Low Fat,0.148764535,Snack Foods,111.1912,OUT019,1985,Small,Tier 1,Grocery Store,109.1912,39,746.9287429675577
FDA20,6.78,Low Fat,0.066997921,Fruits and Vegetables,186.524,OUT017,2007,Small,Tier 2,Supermarket Type1,2609.936,17,2779.8774868151277
FDL34,16.0,Low Fat,0.040938155,Snack Foods,141.1496,OUT035,2004,Small,Tier 2,Supermarket Type1,4516.7872,20,3439.4723641937603
FDL38,12.305705009276435,Regular,0.014661762,Canned,89.1172,OUT027,1985,Medium,Tier 3,Supermarket Type3,2319.6472,39,6037.029996825582
DRL11,10.5,Low Fat,0.048213766,Hard Drinks,159.6946,OUT018,2009,Medium,Tier 3,Supermarket Type2,3629.2758,15,3305.3643551612186
FDO40,17.1,Low Fat,0.032761024,Frozen Foods,148.8392,OUT018,2009,Medium,Tier 3,Supermarket Type2,2087.9488,15,4529.353680518294
DRZ24,7.535,Low Fat,0.0,Soft Drinks,121.644,OUT045,2002,Small,Tier 2,Supermarket Type1,1557.972,22,1216440.0
FDM52,15.1,Low Fat,0.025988508,Frozen Foods,146.6076,OUT035,2004,Small,Tier 2,Supermarket Type1,2364.9216,20,5619.623782241591
FDM52,15.1,Low Fat,0.026140452,Frozen Foods,149.0076,OUT017,2007,Small,Tier 2,Supermarket Type1,4138.6128,17,5678.54547627457
FDV49,10.0,Low Fat,0.025932408,Canned,264.7226,OUT018,2009,Medium,Tier 3,Supermarket Type2,3171.8712,15,10168.963239973806
FDF47,20.85,Low Fat,0.098170402,Starchy Foods,224.0746,OUT017,2007,Small,Tier 2,Supermarket Type1,2243.746,17,2280.1840171570684
FDF56,16.7,Regular,0.119439636,Fruits and Vegetables,182.1976,OUT035,2004,Small,Tier 2,Supermarket Type1,724.3904,20,1524.1605721469655
FDW12,8.315,Regular,0.059540542,Baking Goods,143.6444,OUT010,1998,Small,Tier 3,Grocery Store,145.1444,26,2408.502592079059
FDY09,12.987879554655873,Low Fat,0.044122209,Snack Foods,173.8054,OUT019,1985,Small,Tier 1,Grocery Store,175.1054,39,3930.274039453795
FDY55,16.75,Low Fat,0.081304829,Fruits and Vegetables,258.4988,OUT035,2004,Small,Tier 2,Supermarket Type1,4111.9808,20,3175.4725508974416
FDU36,12.277108208955225,Low Fat,0.081014461,Baking Goods,98.8384,OUT019,1985,Small,Tier 1,Grocery Store,492.692,39,1218.5052921697895
NCR06,12.5,Low Fat,0.006775667,Household,42.9112,OUT049,1999,Medium,Tier 1,Supermarket Type1,1022.6688,25,6241.023598146914
FDW24,6.8,Low Fat,0.03749705,Baking Goods,49.9034,OUT046,1997,Small,Tier 1,Supermarket Type1,194.4136,27,1327.3222234191246
FDF16,7.3,Low Fat,0.086060695,Frozen Foods,149.8076,OUT013,1987,High,Tier 3,Supermarket Type1,2808.3444,37,1738.6999953981335
NCR18,15.85,Low Fat,0.020519478,Household,42.5112,OUT049,1999,Medium,Tier 1,Supermarket Type1,852.224,25,2061.701077010776
DRD01,12.1,Regular,0.061163967,Soft Drinks,56.5614,OUT035,2004,Small,Tier 2,Supermarket Type1,828.921,20,923.240899499701
FDS15,9.195,Regular,0.07821891,Meat,107.6596,OUT045,2002,Small,Tier 2,Supermarket Type1,323.5788,22,1374.6309799255378
FDT19,7.59,Regular,0.14492016,Fruits and Vegetables,174.708,OUT013,1987,High,Tier 3,Supermarket Type1,2942.836,37,1204.7152616574137
FDE59,12.15,Low Fat,0.062235983,Starchy Foods,34.5532,OUT013,1987,High,Tier 3,Supermarket Type1,359.532,37,554.305849319806
FDE04,19.75,Regular,0.030166924,Frozen Foods,179.766,OUT010,1998,Small,Tier 3,Grocery Store,719.064,26,5939.354788745628
NCV17,18.85,Low Fat,0.016104504,Health and Hygiene,130.2626,OUT035,2004,Small,Tier 2,Supermarket Type1,2360.9268,20,8038.666286854569
FDC17,12.15,Low Fat,0.01544786,Frozen Foods,211.2928,OUT013,1987,High,Tier 3,Supermarket Type1,2735.1064,37,13589.831655288895
FDI45,13.1,Low Fat,0.037574137,Fruits and Vegetables,174.2054,OUT035,2004,Small,Tier 2,Supermarket Type1,3677.2134,20,4624.005056837797
FDZ33,12.987879554655873,Low Fat,0.106876976,Snack Foods,146.7076,OUT027,1985,Medium,Tier 3,Supermarket Type3,3842.9976,39,1371.3941586832666
FDJ56,13.224769381746812,Low Fat,0.32111501,Fruits and Vegetables,100.77,OUT019,1985,Small,Tier 1,Grocery Store,199.74,39,313.71510316407694
FDN25,7.895,Regular,0.061124626,Breakfast,58.5588,OUT013,1987,High,Tier 3,Supermarket Type1,171.7764,37,956.4582721991637
FDC10,12.987879554655873,Regular,0.127599399,Snack Foods,118.9098,OUT019,1985,Small,Tier 1,Grocery Store,120.5098,39,931.1696134137641
FDQ22,16.75,Low Fat,0.029785889,Snack Foods,38.9822,OUT049,1999,Medium,Tier 1,Supermarket Type1,628.5152,25,1304.3680915765965
NCR54,16.35,Low Fat,0.0,Household,198.211,OUT035,2004,Small,Tier 2,Supermarket Type1,2946.165,20,1982110.0
DRK11,8.21,Low Fat,0.010762387,Hard Drinks,149.5392,OUT035,2004,Small,Tier 2,Supermarket Type1,1789.6704,20,13766.697872208015
DRI37,15.85,Low Fat,0.108206497,Soft Drinks,58.3904,OUT017,2007,Small,Tier 2,Supermarket Type1,468.7232,17,539.121858959209
FDX37,16.2,Low Fat,0.063127333,Canned,100.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,1597.92,25,1589.0279604233822
FDF05,17.5,Low Fat,0.02687089,Frozen Foods,264.491,OUT046,1997,Small,Tier 1,Supermarket Type1,3681.874,27,9806.535861441724
FDW36,12.277108208955225,Low Fat,0.099681705,Baking Goods,107.4622,OUT019,1985,Small,Tier 1,Grocery Store,317.5866,39,1076.9729781626802
FDI04,13.65,Regular,0.072898645,Frozen Foods,198.1426,OUT035,2004,Small,Tier 2,Supermarket Type1,1977.426,20,2714.3325742553166
FDB04,11.35,Regular,0.063354531,Dairy,88.9856,OUT045,2002,Small,Tier 2,Supermarket Type1,1230.3984,22,1402.3521819111702
FDU38,10.8,Low Fat,0.082534287,Dairy,191.1504,OUT035,2004,Small,Tier 2,Supermarket Type1,4410.2592,20,2313.209285632246
FDY28,7.47,Regular,0.152024355,Frozen Foods,211.8218,OUT013,1987,High,Tier 3,Supermarket Type1,1496.0526,37,1392.425295739134
FDP20,19.85,Low Fat,0.045669236,Fruits and Vegetables,126.402,OUT046,1997,Small,Tier 1,Supermarket Type1,1012.016,27,2761.7240541222927
FDC29,8.39,Regular,0.024342578,Frozen Foods,113.6176,OUT017,2007,Small,Tier 2,Supermarket Type1,2862.94,17,4648.347649744638
FDR45,10.8,Low Fat,0.028988288,Snack Foods,239.2222,OUT049,1999,Medium,Tier 1,Supermarket Type1,6692.6216,25,8224.00410777011
NCC42,15.0,Low Fat,0.044908404,Health and Hygiene,140.2838,OUT046,1997,Small,Tier 1,Supermarket Type1,1404.838,27,3116.835691396656
NCF42,17.35,Low Fat,0.168329848,Household,176.7712,OUT017,2007,Small,Tier 2,Supermarket Type1,2812.3392,17,1049.524191222924
FDZ45,14.1,Low Fat,0.111936685,Snack Foods,198.8084,OUT010,1998,Small,Tier 3,Grocery Store,992.042,26,1774.49377407052
FDB23,19.2,Regular,0.005620213,Starchy Foods,226.6062,OUT017,2007,Small,Tier 2,Supermarket Type1,5191.2426,17,39614.993357764826
FDC41,15.6,Low Fat,0.117095014,Frozen Foods,78.067,OUT049,1999,Medium,Tier 1,Supermarket Type1,1148.505,25,666.1290214957438
FDA10,12.987879554655873,Low Fat,0.248301532,Snack Foods,124.1072,OUT019,1985,Small,Tier 1,Grocery Store,245.0144,39,499.62332760492
NCM26,20.5,Low Fat,0.023274107,Others,154.134,OUT017,2007,Small,Tier 2,Supermarket Type1,2909.546,17,6594.219834794117
FDZ58,12.987879554655873,Low Fat,0.091354948,Snack Foods,122.3072,OUT019,1985,Small,Tier 1,Grocery Store,122.5072,39,1337.3491831191025
FDW35,10.6,Low Fat,0.011087128,Breads,41.4454,OUT035,2004,Small,Tier 2,Supermarket Type1,1468.089,20,3704.7399475540105
FDX32,15.1,Regular,0.099839365,Fruits and Vegetables,143.3786,OUT035,2004,Small,Tier 2,Supermarket Type1,1733.7432,20,1434.6559036071521
FDK40,7.035,Low Fat,0.021938404,Frozen Foods,264.691,OUT018,2009,Medium,Tier 3,Supermarket Type2,5785.802,15,12010.44322447306
FDD04,16.0,Low Fat,0.090480206,Dairy,142.4154,OUT017,2007,Small,Tier 2,Supermarket Type1,1985.4156,17,1572.257409085601
FDP28,13.65,Regular,0.080640478,Frozen Foods,262.6936,OUT046,1997,Small,Tier 1,Supermarket Type1,4175.8976,27,3253.5551746423894
NCL42,18.85,Low Fat,0.040338009,Household,246.7144,OUT013,1987,High,Tier 3,Supermarket Type1,6615.3888,37,6101.052106694966
DRB13,6.115,Regular,0.007043008,Soft Drinks,190.353,OUT035,2004,Small,Tier 2,Supermarket Type1,569.259,20,26648.85717613644
FDC33,8.96,Regular,0.069219165,Fruits and Vegetables,196.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,2759.0752,15,2835.8218106060567
FDO58,19.6,Low Fat,0.039569689,Snack Foods,165.9526,OUT035,2004,Small,Tier 2,Supermarket Type1,2631.2416,20,4183.360247669196
FDE34,9.195,Low Fat,0.180588082,Snack Foods,182.2634,OUT010,1998,Small,Tier 3,Grocery Store,363.5268,26,1008.7184388840875
NCE19,8.97,Low Fat,0.09301462,Household,52.7956,OUT046,1997,Small,Tier 1,Supermarket Type1,1037.3164,27,566.9958165538344
NCJ18,12.35,Low Fat,0.274405193,Household,117.1124,OUT010,1998,Small,Tier 3,Grocery Store,355.5372,26,426.6309089460468
FDF52,9.3,Low Fat,0.066887123,Frozen Foods,183.9292,OUT049,1999,Medium,Tier 1,Supermarket Type1,3283.7256,25,2745.739655067736
FDY04,17.7,Regular,0.042468413,Frozen Foods,162.421,OUT035,2004,Small,Tier 2,Supermarket Type1,1468.089,20,3815.5286644113316
DRF49,7.27,Low Fat,0.071188446,Soft Drinks,111.9518,OUT049,1999,Medium,Tier 1,Supermarket Type1,1138.518,25,1570.4059533013246
FDX27,20.7,Regular,0.191008614,Dairy,92.8436,OUT010,1998,Small,Tier 3,Grocery Store,189.0872,26,485.8158826896207
FDV28,16.1,Regular,0.159595473,Frozen Foods,32.8558,OUT013,1987,High,Tier 3,Supermarket Type1,339.558,37,205.74033429238165
FDE33,13.224769381746812,Regular,0.086905536,Fruits and Vegetables,78.8644,OUT019,1985,Small,Tier 1,Grocery Store,314.2576,39,906.4296782218547
FDQ37,20.75,Low Fat,0.089186387,Breakfast,193.3478,OUT013,1987,High,Tier 3,Supermarket Type1,6006.1818,37,2165.4790444146875
NCG30,20.2,Low Fat,0.112321218,Household,123.6046,OUT046,1997,Small,Tier 1,Supermarket Type1,2988.1104,27,1099.4775025476063
NCH29,5.51,Low Fat,0.034668802,Health and Hygiene,98.5726,OUT017,2007,Small,Tier 2,Supermarket Type1,1761.7068,17,2835.087616766318
FDV20,20.2,Regular,0.0,Fruits and Vegetables,129.0678,OUT017,2007,Small,Tier 2,Supermarket Type1,3560.6984,17,1290678.0
FDG57,14.7,Low Fat,0.072592873,Fruits and Vegetables,48.5034,OUT018,2009,Medium,Tier 3,Supermarket Type2,874.8612,15,667.2373507647716
FDU60,20.0,Regular,0.059889718,Baking Goods,168.5132,OUT035,2004,Small,Tier 2,Supermarket Type1,2874.9244,20,2809.0347082478365
NCH30,17.1,Low Fat,0.112402118,Household,112.986,OUT010,1998,Small,Tier 3,Grocery Store,113.186,26,1004.3010923581013
NCM29,11.5,Low Fat,0.029529474,Health and Hygiene,132.6626,OUT010,1998,Small,Tier 3,Grocery Store,262.3252,26,4477.38626747137
FDB12,11.15,Regular,0.105736638,Baking Goods,104.4648,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.1608,15,987.0381559172354
FDD53,16.2,Low Fat,0.044291251,Frozen Foods,43.3454,OUT049,1999,Medium,Tier 1,Supermarket Type1,503.3448,25,976.4401548404211
FDI44,16.1,Low Fat,0.100388706,Fruits and Vegetables,76.0328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1853.5872,25,756.6303023147696
FDW56,13.224769381746812,Low Fat,0.070556945,Fruits and Vegetables,191.2162,OUT027,1985,Medium,Tier 3,Supermarket Type3,7504.2318,39,2706.2619251370124
FDA01,15.0,Regular,0.054599767,Canned,59.4904,OUT018,2009,Medium,Tier 3,Supermarket Type2,644.4944,15,1087.5805010284596
FDG47,12.8,Low Fat,0.069560905,Starchy Foods,263.0252,OUT013,1987,High,Tier 3,Supermarket Type1,2885.5772,37,3775.7936104907044
FDT40,5.985,Low Fat,0.0,Frozen Foods,125.2678,OUT035,2004,Small,Tier 2,Supermarket Type1,1017.3424,20,1252677.9999999998
FDU20,19.35,Regular,0.021453493,Fruits and Vegetables,120.3098,OUT035,2004,Small,Tier 2,Supermarket Type1,2530.7058,20,5581.91658308006
NCP41,16.6,Low Fat,0.016276741,Health and Hygiene,109.8596,OUT018,2009,Medium,Tier 3,Supermarket Type2,1617.894,15,6708.269978746076
FDW36,12.277108208955225,Low Fat,0.056656942,Baking Goods,106.2622,OUT027,1985,Medium,Tier 3,Supermarket Type3,2328.9684,39,1872.2326512940037
FDN31,11.5,Low Fat,0.072994847,Fruits and Vegetables,189.253,OUT049,1999,Medium,Tier 1,Supermarket Type1,1328.271,25,2589.1428434072786
NCU54,8.88,Low Fat,0.165073642,Household,207.727,OUT010,1998,Small,Tier 3,Grocery Store,209.727,26,1257.628017913415
FDS01,11.6,Low Fat,0.017744999,Canned,177.9686,OUT046,1997,Small,Tier 1,Supermarket Type1,1244.3802,27,9973.023814683318
FDA23,9.8,Low Fat,0.047453947,Baking Goods,101.7016,OUT017,2007,Small,Tier 2,Supermarket Type1,1518.024,17,2138.6573863153776
FDY08,9.395,Regular,0.171422166,Fruits and Vegetables,139.1838,OUT045,2002,Small,Tier 2,Supermarket Type1,1685.8056,22,811.4624671892262
FDJ28,12.3,Low Fat,0.021860985,Frozen Foods,193.3162,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.6592,27,8802.710807370435
DRF36,16.1,Low Fat,0.023577298,Soft Drinks,192.6846,OUT046,1997,Small,Tier 1,Supermarket Type1,2866.269,27,8137.947159342252
FDH44,19.1,Regular,0.043304681,Fruits and Vegetables,147.5418,OUT010,1998,Small,Tier 3,Grocery Store,294.2836,26,3399.214015649602
NCY54,8.43,Low Fat,0.177971115,Household,174.0422,OUT049,1999,Medium,Tier 1,Supermarket Type1,2069.3064,25,977.3746853890369
FDR59,14.5,Regular,0.106894492,Breads,260.4594,OUT010,1998,Small,Tier 3,Grocery Store,1046.6376,26,2434.325310876751
DRA59,8.27,Regular,0.127927931,Soft Drinks,184.8924,OUT046,1997,Small,Tier 1,Supermarket Type1,4442.2176,27,1444.1567442029507
FDS55,7.02,Low Fat,0.081623275,Fruits and Vegetables,148.0734,OUT017,2007,Small,Tier 2,Supermarket Type1,1930.1542,17,1811.8877394475442
FDZ28,20.0,Regular,0.051596927,Frozen Foods,128.0678,OUT045,2002,Small,Tier 2,Supermarket Type1,1780.3492,22,2477.280709547784
DRG49,7.81,Low Fat,0.067592098,Soft Drinks,246.0486,OUT045,2002,Small,Tier 2,Supermarket Type1,7086.1094,22,3634.8201233177906
FDH21,12.5528431372549,Low Fat,0.054670967,Seafood,158.6604,OUT019,1985,Small,Tier 1,Grocery Store,316.9208,39,2896.797494920986
NCN19,13.1,Low Fat,0.012089479,Others,189.853,OUT013,1987,High,Tier 3,Supermarket Type1,3415.554,37,15575.152965930703
FDP25,15.2,Low Fat,0.021250528,Canned,216.5824,OUT045,2002,Small,Tier 2,Supermarket Type1,5241.1776,22,10144.123836188033
DRH59,10.8,Low Fat,0.05843345,Hard Drinks,74.738,OUT046,1997,Small,Tier 1,Supermarket Type1,1025.332,27,1276.8425575461551
FDH09,12.6,Low Fat,0.05606697,Seafood,50.7982,OUT035,2004,Small,Tier 2,Supermarket Type1,473.3838,20,904.4141067250022
NCK54,12.15,Low Fat,0.029569276,Household,115.015,OUT049,1999,Medium,Tier 1,Supermarket Type1,2912.875,25,3876.5691485023094
FDT21,7.42,Low Fat,0.0204332,Snack Foods,248.9092,OUT045,2002,Small,Tier 2,Supermarket Type1,5976.2208,22,12122.280014805292
